MA1993.2 Neurod2	Cluster_182
MA1997.2 Olig2	Cluster_182
MA0521.3 Tcf12	Cluster_182
MA0633.3 Twist2	Cluster_182
MA0100.4 MYB	Cluster_183
MA1641.2 MYF5	Cluster_184
MA1472.3 Bhlha15	Cluster_184
MA1619.2 Ptf1A	Cluster_184
MA1620.2 Ptf1A	Cluster_184
MA0665.1 MSC	Cluster_185
MA0667.1 MYF6	Cluster_185
MA0691.1 TFAP4	Cluster_185
MA0816.1 Ascl2	Cluster_185
MA0832.2 Tcf21	Cluster_185
MA0783.1 PKNOX2	Cluster_186
MA0796.1 TGIF1	Cluster_186
MA0797.1 TGIF2	Cluster_186
MA1571.1 TGIF2LX	Cluster_186
MA1572.1 TGIF2LY	Cluster_186
MA1485.1 FERD3L	Cluster_187
MA0036.4 GATA2	Cluster_188
MA0482.3 GATA4	Cluster_188
MA0766.3 GATA5	Cluster_188
MA1104.3 GATA6	Cluster_188
MA1970.2 TRPS1	Cluster_188
MA0037.5 Gata3	Cluster_188
MA0035.5 GATA1	Cluster_189
MA1154.2 ZNF282	Cluster_19
MA0029.2 Mecom	Cluster_190
MA1731.2 ZNF768	Cluster_191
MA2098.1 ZNF766	Cluster_192
MA1998.2 Prdm14	Cluster_193
MA2325.1 EPAS1	Cluster_194
MA1652.2 ZKSCAN5	Cluster_195
MA0009.2 TBXT	Cluster_196
MA0804.2 TBX19	Cluster_196
MA0801.1 MGA	Cluster_197
MA0803.1 TBX15	Cluster_197
MA0805.1 TBX1	Cluster_197
MA0806.1 TBX4	Cluster_197
MA0807.1 TBX5	Cluster_197
MA0690.3 TBX21	Cluster_197
MA0800.2 EOMES	Cluster_197
MA1566.3 TBX3	Cluster_197
MA0802.2 TBR1	Cluster_197
MA1565.2 TBX18	Cluster_197
MA0688.2 TBX2	Cluster_197
MA1567.3 Tbx6	Cluster_197
MA0689.1 TBX20	Cluster_198
MA2123.1 Hand1	Cluster_199
MA1930.2 CTCF	Cluster_2
MA0752.2 ZNF410	Cluster_20
MA1960.2 MGA::EVX1	Cluster_200
MA2336.1 ZSCAN21	Cluster_201
MA0164.2 Nr2e3	Cluster_202
MA0597.3 THAP1	Cluster_203
MA1726.2 ZNF331	Cluster_204
MA1725.2 ZNF189	Cluster_205
MA1655.2 ZNF341	Cluster_206
MA1730.2 ZNF708	Cluster_207
MA1728.2 ZNF549	Cluster_208
MA0038.3 GFI1	Cluster_209
MA0483.2 Gfi1B	Cluster_209
MA1155.1 ZSCAN4	Cluster_21
MA1720.2 ZNF85	Cluster_210
MA1580.1 ZBTB32	Cluster_211
MA0629.2 Rhox11	Cluster_212
MA2094.1 PAX8	Cluster_213
MA0779.2 PAX1	Cluster_213
MA0781.2 PAX9	Cluster_213
MA0067.3 PAX2	Cluster_213
MA0069.1 PAX6	Cluster_214
MA1546.2 PAX3	Cluster_215
MA0860.1 Rarg	Cluster_216
MA1576.2 THRB	Cluster_216
MA1969.2 THRA	Cluster_217
MA0494.2 Nr1h3::Rxra	Cluster_218
MA0730.1 RARA	Cluster_219
MA0858.1 Rarb	Cluster_219
MA1149.2 RARA::RXRG	Cluster_219
MA0495.4 MAFF	Cluster_22
MA0842.3 NRL	Cluster_22
MA0117.3 Mafb	Cluster_22
MA0159.1 RARA::RXRA	Cluster_220
MA0258.2 ESR2	Cluster_221
MA0112.4 ESR1	Cluster_221
MA0066.2 PPARG	Cluster_222
MA1532.2 NR1D2	Cluster_223
MA1531.2 NR1D1	Cluster_223
MA0728.1 Nr2F6	Cluster_224
MA0857.1 Rarb	Cluster_224
MA0859.2 Rarg	Cluster_224
MA0729.1 RARA	Cluster_225
MA1541.2 NR6A1	Cluster_226
MA1540.3 NR5A1	Cluster_227
MA0512.2 Rxra	Cluster_228
MA0855.1 RXRB	Cluster_228
MA0856.1 RXRG	Cluster_228
MA0504.2 NR2C2	Cluster_228
MA1537.2 NR2F1	Cluster_228
MA1550.2 PPARD	Cluster_228
MA1574.2 THRB	Cluster_228
MA0677.2 Nr2f6	Cluster_228
MA0065.3 Pparg::Rxra	Cluster_228
MA1494.2 HNF4A	Cluster_229
MA1651.2 ZFP42	Cluster_23
MA0115.1 NR1H2::RXRA	Cluster_230
MA1148.2 PPARA::RXRA	Cluster_231
MA0017.3 NR2F1	Cluster_232
MA0072.2 RORA	Cluster_233
MA1150.2 RORB	Cluster_233
MA1151.2 RORC	Cluster_233
MA0071.1 RORA	Cluster_234
MA0592.4 ESRRA	Cluster_234
MA0141.4 ESRRB	Cluster_234
MA0643.2 Esrrg	Cluster_234
MA0505.3 Nr5A2	Cluster_234
MA1535.2 NR2C1	Cluster_235
MA1536.2 NR2C2	Cluster_235
MA2337.1 Nr1h3	Cluster_235
MA1996.2 Nr1H2	Cluster_235
MA1110.3 Nr1H4	Cluster_235
MA1111.2 NR2F2	Cluster_236
MA1112.3 NR4A1	Cluster_236
MA0160.3 NR4A2	Cluster_236
MA2338.1 Ppara	Cluster_236
MA0676.1 Nr2e1	Cluster_237
MA1657.2 ZNF652	Cluster_238
MA0114.5 HNF4A	Cluster_239
MA0484.3 HNF4G	Cluster_239
MA0095.4 Yy1	Cluster_24
MA1534.2 NR1I3	Cluster_240
MA0693.4 Vdr	Cluster_241
MA1555.1 RXRB	Cluster_242
MA1556.1 RXRG	Cluster_242
MA1552.2 RARB	Cluster_242
MA1553.2 RARG	Cluster_242
MA1538.1 NR2F1	Cluster_243
MA1539.1 NR2F6	Cluster_243
MA1146.2 NR1H4::RXRA	Cluster_243
MA1147.2 NR4A2::RXRA	Cluster_243
MA1985.1 ZNF669	Cluster_244
MA0074.1 RXRA::VDR	Cluster_245
MA1533.2 NR1I2	Cluster_245
MA1575.2 THRB	Cluster_246
MA1975.2 ZNF214	Cluster_247
MA0610.2 DMRT3	Cluster_248
MA1478.2 DMRTA2	Cluster_249
MA0866.1 SOX21	Cluster_25
MA0870.1 Sox1	Cluster_25
MA1707.2 DMRTA1	Cluster_250
MA1479.2 DMRTC2	Cluster_251
MA0631.2 Six3	Cluster_252
MA1592.2 ZNF274	Cluster_253
MA1984.2 ZNF667	Cluster_254
MA1114.2 PBX3	Cluster_255
MA0782.3 PKNOX1	Cluster_255
MA0111.1 Spz1	Cluster_256
MA1583.2 ZFP57	Cluster_257
MA2002.2 Zfp335	Cluster_258
MA1520.2 MAF	Cluster_259
MA1521.2 MAFA	Cluster_259
MA0769.3 TCF7	Cluster_26
MA0768.3 Lef1	Cluster_26
MA0496.4 MAFK	Cluster_260
MA0501.2 MAF::NFE2	Cluster_260
MA0089.3 MAFG::NFE2L1	Cluster_260
MA0591.2 Bach1::Mafk	Cluster_260
MA0659.4 Mafg	Cluster_260
MA0150.3 Nfe2l2	Cluster_260
MA1634.2 BATF	Cluster_261
MA0462.3 BATF::JUN	Cluster_261
MA0835.3 BATF3	Cluster_261
MA1928.2 BNC2	Cluster_261
MA1988.2 Atf3	Cluster_261
MA0655.1 JDP2	Cluster_262
MA1633.2 BACH1	Cluster_262
MA0476.2 FOS	Cluster_262
MA0099.4 FOS::JUN	Cluster_262
MA1134.2 FOS::JUNB	Cluster_262
MA0490.3 JUNB	Cluster_262
MA1141.2 FOS::JUND	Cluster_262
MA0491.3 JUND	Cluster_262
MA1135.2 FOSB::JUNB	Cluster_262
MA0477.3 FOSL1	Cluster_262
MA1128.2 FOSL1::JUN	Cluster_262
MA1137.2 FOSL1::JUNB	Cluster_262
MA1142.2 FOSL1::JUND	Cluster_262
MA0478.2 FOSL2	Cluster_262
MA1130.2 FOSL2::JUN	Cluster_262
MA1138.2 FOSL2::JUNB	Cluster_262
MA1144.2 FOSL2::JUND	Cluster_262
MA1132.2 JUN::JUNB	Cluster_262
MA0841.2 NFE2	Cluster_262
MA0489.3 Jun	Cluster_262
MA1101.3 BACH2	Cluster_263
MA1684.1 Foxn1	Cluster_264
MA0131.3 HINFP	Cluster_265
MA0615.2 Gmeb1	Cluster_266
MA0636.1 BHLHE41	Cluster_267
MA0663.1 MLX	Cluster_267
MA0831.3 TFE3	Cluster_267
MA0828.3 SREBF2	Cluster_267
MA0620.4 MITF	Cluster_267
MA0829.3 SREBF1	Cluster_267
MA0093.4 USF1	Cluster_267
MA0526.5 USF2	Cluster_267
MA1464.2 ARNT2	Cluster_268
MA1099.3 HES1	Cluster_268
MA0664.2 MLXIPL	Cluster_268
MA0692.2 TFEB	Cluster_268
MA0871.3 TFEC	Cluster_268
MA0603.2 Arntl	Cluster_268
MA0823.1 HEY1	Cluster_269
MA1493.1 HES6	Cluster_269
MA0821.2 HES5	Cluster_269
MA0616.3 HES2	Cluster_269
MA0649.2 HEY2	Cluster_269
MA0523.2 TCF7L2	Cluster_27
MA1991.2 Hnf1A	Cluster_27
MA0822.1 HES7	Cluster_270
MA0147.4 MYC	Cluster_271
MA0104.5 MYCN	Cluster_271
MA0059.2 MAX::MYC	Cluster_272
MA0608.1 Creb3l2	Cluster_273
MA0464.3 BHLHE40	Cluster_274
MA1560.2 SOHLH2	Cluster_274
MA0632.3 TCFL5	Cluster_275
MA0819.3 CLOCK	Cluster_276
MA0626.2 Npas2	Cluster_276
MA0004.1 Arnt	Cluster_277
MA0259.2 ARNT::HIF1A	Cluster_277
MA0058.4 MAX	Cluster_277
MA0825.2 MNT	Cluster_277
MA0622.2 Mlxip	Cluster_277
MA1108.3 MXI1	Cluster_278
MA1106.2 HIF1A	Cluster_279
MA1421.1 TCF7L1	Cluster_28
MA0014.4 PAX5	Cluster_280
MA1995.2 Npas4	Cluster_281
MA0006.2 Ahr::Arnt	Cluster_282
MA1466.2 ATF6	Cluster_283
MA0638.2 CREB3	Cluster_283
MA0839.2 CREB3L1	Cluster_283
MA0844.2 XBP1	Cluster_283
MA1474.2 CREB3L4	Cluster_284
MA0595.1 SREBF1	Cluster_285
MA0596.1 SREBF2	Cluster_285
MA0639.2 DBP	Cluster_286
MA0843.2 TEF	Cluster_286
MA0862.1 GMEB2	Cluster_287
MA0604.1 Atf1	Cluster_288
MA1143.2 FOSL1::JUND	Cluster_288
MA1127.1 FOSB::JUN	Cluster_289
MA1129.1 FOSL1::JUN	Cluster_289
MA1136.1 FOSB::JUNB	Cluster_289
MA1632.2 ATF2	Cluster_289
MA0605.3 ATF3	Cluster_289
MA0834.2 ATF7	Cluster_289
MA0488.2 JUN	Cluster_289
MA1475.2 CREB3L4	Cluster_289
MA0609.3 CREM	Cluster_289
MA1126.2 FOS::JUN	Cluster_289
MA1140.3 JUNB	Cluster_289
MA0492.2 JUND	Cluster_289
MA1131.2 FOSL2::JUN	Cluster_289
MA1139.2 FOSL2::JUNB	Cluster_289
MA1145.2 FOSL2::JUND	Cluster_289
MA0656.2 JDP2	Cluster_289
MA1133.2 JUN::JUNB	Cluster_289
MA0840.2 Creb5	Cluster_289
MA1561.2 SOX12	Cluster_29
MA1951.2 FOS	Cluster_290
MA0018.5 CREB1	Cluster_291
MA0794.1 PROX1	Cluster_292
MA1470.2 BACH2	Cluster_293
MA1980.1 ZNF418	Cluster_294
MA1714.2 ZNF675	Cluster_295
MA0024.3 E2F1	Cluster_296
