name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
FOXO1::FLI1	MA1956.2	207	1.48683	13	0.50669	4	-0.08194	2.22971e-16
ZNF274	MA1592.2	124	1.84631	14	0.31985	1	0.10486	2.3202e-16
IRF2	MA0051.2	144	1.67609	6	0.26658	1	0.10728	2.51946e-16
BACH2	MA1470.2	133	1.67808	7	0.46526	2	-0.08503	2.72522e-16
PAX3	MA1546.2	122	2.00555	8	0.38524	2	0.09537	8.42656e-16
Prdm5	MA1999.2	270	1.82188	23	0.47929	5	-0.0592	1.17944e-15
FOXN3	MA1489.1	416	1.72199	27	0.31777	3	0.07057	1.48585e-15
HES7	MA0822.1	33	2.13096	5	0.59274	1	0.16276	3.79777e-15
ZNF184	MA2120.1	178	1.68371	12	0.30217	2	0.10492	6.18094e-15
Thap11	MA1573.2	115	2.13427	15	0.48227	5	0.09628	9.64136e-15
ZNF85	MA1720.2	146	1.70371	11	0.34873	3	0.08894	1.73689e-14
ZNF35	MA2333.1	30	1.40447	1	0.15503	0	0.17573	3.24581e-14
BARHL1	MA0877.4	159	1.71876	10	0.5816	3	-0.08239	4.27437e-14
REST	MA0138.3	141	1.60004	5	0.4038	1	-0.09296	1.39347e-13
ZBTB24	MA2330.1	165	2.03313	22	0.34471	1	0.0747	1.56707e-13
Dmbx1	MA0883.2	93	1.43224	4	0.2191	1	0.11234	1.86909e-13
ZNF189	MA1725.2	195	1.86423	23	0.31606	1	0.07166	2.3003e-13
ZIM3	MA1709.2	249	1.41436	7	0.23563	2	0.06973	3.27413e-13
ZNF211	MA1974.2	37	1.63079	1	0.16207	0	0.14077	1.04663e-12
Prdm15	MA1616.2	144	1.65083	10	0.27121	2	0.0844	1.05273e-12
SIX1	MA1118.2	114	1.76347	7	0.3172	1	0.08042	1.15338e-12
ZNF384	MA1125.2	165	0.91047	3	0.23375	1	-0.08583	1.45191e-12
BCL6B	MA0731.1	78	1.29514	0	0.39513	1	-0.11178	1.82729e-12
MEIS3	MA0775.2	275	1.65308	14	0.34919	6	0.06166	9.25881e-12
Yy1	MA0095.4	168	1.51659	7	0.38262	3	-0.05834	9.274e-12
Dmrt1	MA1603.2	122	1.52007	8	0.25163	0	0.09516	1.39523e-11
Rhox11	MA0629.2	177	1.62686	8	0.45849	3	-0.07375	1.51159e-11
TCF4	MA0830.3	135	1.7504	10	0.54821	3	-0.06927	1.64164e-11
Ddit3::Cebpa	MA0019.2	101	1.96308	8	0.31673	0	0.07064	2.13487e-11
KLF13	MA0657.2	240	1.9454	17	0.54505	6	-0.04899	2.39337e-11
NFIL3	MA0025.3	139	1.8546	11	0.30657	1	0.10074	2.85689e-11
NFYB	MA0502.3	331	1.88221	20	0.58564	12	-0.06125	3.44053e-11
ZNF8	MA1718.1	84	1.44524	3	0.47031	2	-0.10798	3.90488e-11
ZFP57	MA1583.2	36	1.18318	1	0.36684	0	-0.18055	4.5839e-11
Six3	MA0631.2	67	2.11348	9	0.37577	1	0.08406	9.5318e-11
Smad4	MA1153.2	57	1.69593	4	0.21039	0	0.13776	9.55877e-11
DMRT3	MA0610.2	72	1.7769	2	0.34075	1	0.08781	2.25076e-10
Elf5	MA0136.4	200	1.55299	12	0.33069	2	0.04792	2.69903e-10
ZNF669	MA1985.1	96	1.954	7	0.34527	0	0.07639	4.24381e-10
THRB	MA1576.2	161	1.78139	12	0.418	1	-0.0679	5.32126e-10
MAX::MYC	MA0059.2	74	1.53701	5	0.38248	0	-0.07109	6.10858e-10
Runx1	MA0002.3	224	1.63724	18	0.2966	1	0.03732	2.05165e-09
