Ensembl_Gene_ID	FPKM_(+)4SUTP_512cell_rep1	FPKM_(+)4SUTP_256cell_rep1	FPKM_(+)4SUTP_128cell_rep1	FPKM_(+)4SUTP_512cell_rep2	FPKM_(+)4SUTP_256cell_rep2	FPKM_(+)4SUTP_128cell_rep2	FPKM_(-)4SUTP_128cell	FPKM_(-)4SUTP_256cell	FPKM_(-)4SUTP_512cell
ENSDARG00000058950	3.57244	2.61994	3.08541	1.23727	1.04975	1.46207	4.36606	2.30438	0.957727
ENSDARG00000058953	0.505003	0.41821	0.503723	0.271248	0.455981	0.618884	1.35046	0.79451	0.242283
ENSDARG00000058958	0.949142	0.183428	0.40043	0.562837	0.304489	0.621348	0.474474	0.437191	0.227292
ENSDARG00000058962	2.49032	3.55598	4.89012	1.57829	1.50945	1.16114	1.2728	0.864657	0.515324
ENSDARG00000058963	1.03597	1.20443	0.349946	0.331469	0.0726855	0.289029	1.63575	0.419184	0.416587
ENSDARG00000058966	8.36309	0	0	0.978546	0	0	0	0	0
ENSDARG00000058984	0.369865	0.899123	0.369603	0.596249	0.793236	0.599751	0.930334	0.264838	0.175068
ENSDARG00000058990	0.342824	1.37852	0.9444	0.0895252	1.3077	0.67131	2.55947	1.83526	1.45338
ENSDARG00000058992	0.203876	0.115695	0.347189	0.108167	0.328611	0.481596	0.48157	0.0955741	0.116122
ENSDARG00000058993	8.64078	10.3467	7.23351	2.55862	2.87005	3.85556	5.02686	2.34851	1.47248
ENSDARG00000058996	11.8769	11.8431	7.88906	2.86077	3.5184	3.1753	4.63473	6.47915	3.47172
ENSDARG00000059001	28.6853	6.24504	0.75344	8.7839	1.63558	0.249613	0.202907	0.261976	0.216827
ENSDARG00000059003	0.259881	0.327017	0.139532	0.0774249	0.217273	0.364063	0.978238	0.414984	0.271936
ENSDARG00000059006	3.44143	5.09314	5.66121	1.49523	1.95908	3.49002	6.40648	3.96907	3.14358
ENSDARG00000059035	6.79671	5.94943	6.1597	2.16808	4.28393	4.7186	7.72107	5.74888	2.52711
ENSDARG00000059036	0.544787	1.681	1.5548	0.686961	0.427134	0.565848	2.51613	3.13182	2.23446
ENSDARG00000059037	0.41977	0.491198	0.512569	0.575263	0.442868	0.242221	0.465677	0.491783	0.474901
ENSDARG00000059059	1.89114	1.57872	1.29698	0.89292	0.843823	0.576368	3.29815	3.52015	2.29926
ENSDARG00000059064	3.52677	5.4808	3.38299	1.53912	2.73665	3.49133	6.07116	3.51986	1.95191
ENSDARG00000059070	2.79221	2.24961	2.24265	1.53838	2.16224	2.59093	2.83944	1.29335	0.859498
ENSDARG00000059073	15.1316	4.35434	0.467103	3.46475	0.810505	0.190472	0.103721	0	0.236367
ENSDARG00000059079	1.40177	1.17354	1.81697	1.11138	1.01316	1.01283	2.54034	1.23178	1.38277
ENSDARG00000059081	1.96729	0.152453	0	0.421045	0.316113	0.0803202	0	0	0
ENSDARG00000059097	1.18467	1.7137	1.20479	0.541947	0.647447	0.864056	1.72745	0.626556	0.37125
ENSDARG00000059109	1.26294	0.10199	0.350851	0.25303	0.145322	0.0794106	0.284806	0	0.271728
ENSDARG00000059115	0.862098	3.11774	0.370163	0.192638	0.342798	0.22879	0.131269	0.194955	0.126643
ENSDARG00000059120	11.5072	2.43693	0.532444	2.72575	1.15183	0.0907274	0.250431	0.183884	0.0420948
ENSDARG00000059125	1.17947	1.88205	1.69546	1.31222	1.7212	1.7742	7.10208	2.39462	1.43689
ENSDARG00000059128	1.42586	1.78942	1.77453	1.61609	2.0402	1.45091	1.87771	0.709393	0.336101
