Ensembl Gene ID,Gene name,FPKM 512-cell,FPKM 256-cell, FPKM 128-cell,fold-change,lfc_512_128,lfc_256_128,512_4fold,256_4fold,256_2fold
ENSDARG00000090591,,11.17,5.16,1.12,2.52,2.52,1.54,1,0,1
ENSDARG00000089155,CABZ01038979.1,10.93,2.04,0.03,3.54,3.53,1.56,1,0,1
ENSDARG00000068941,zgc:113983,10.76,3.77,0.38,3.09,3.09,1.79,1,0,1
ENSDARG00000027899,shfm1,10.71,3.93,1.57,2.19,2.19,0.94,1,0,0
ENSDARG00000060472,C15H11orf51,10.53,2.54,1.2,2.39,2.39,0.69,1,0,0
ENSDARG00000091798,CABZ01024854.1,10.5,2.67,0.05,3.46,3.45,1.81,1,0,1
ENSDARG00000037178,zic2b,10.49,0.62,0,3.52,3.52,0.70,1,0,0
ENSDARG00000019230,rpl7a,10.46,5,1.62,2.13,2.13,1.20,1,0,1
ENSDARG00000041299,zgc:110796,10.36,2.37,0.66,2.78,2.77,1.02,1,0,1
ENSDARG00000095220,wu:fb94b09,10.33,2.38,0,3.5,3.50,1.76,1,0,1
ENSDARG00000092337,si:ch211-198n5.9,10.26,2.85,0.05,3.42,3.42,1.87,1,0,1
ENSDARG00000059120,pim1,10.07,1.85,0.18,3.24,3.23,1.27,1,0,1
ENSDARG00000014244,rbmx,9.88,2.98,1.06,2.4,2.40,0.95,1,0,0
ENSDARG00000095617,si:dkey-4c15.7,9.87,3.2,0.48,2.87,2.88,1.50,1,0,1
ENSDARG00000040126,CDC37,9.83,3.66,1.53,2.1,2.10,0.88,1,0,0
ENSDARG00000007320,rpl7,9.75,4.3,1.52,2.09,2.09,1.07,1,0,1
ENSDARG00000091689,CABZ01111623.1,9.74,0.86,0.03,3.38,3.38,0.85,1,0,0
ENSDARG00000095340,hist2h3ca1,9.72,4.78,0.94,2.47,2.47,1.58,1,0,1
ENSDARG00000094542,si:dkey-121h17.7,9.67,1.84,0.5,2.83,2.83,0.92,1,0,0
ENSDARG00000019417,gadd45g,9.65,3.04,0.02,3.38,3.38,1.99,1,0,1
ENSDARG00000091419,nrarpa,9.61,2.05,0.26,3.07,3.07,1.28,1,0,1
ENSDARG00000078419,FILIP1 (2 of 2),9.55,2.36,0.02,3.37,3.37,1.72,1,0,1
ENSDARG00000038784,zgc:110143,9.55,2.23,0.06,3.32,3.32,1.61,1,0,1
ENSDARG00000094364,zgc:174642,9.54,2.53,0.09,3.27,3.27,1.70,1,0,1
ENSDARG00000016608,fra10ac1,9.48,4.95,1.5,2.07,2.07,1.25,1,0,1
ENSDARG00000040666,mki67ip,9.44,2.19,0.75,2.58,2.58,0.87,1,0,0
ENSDARG00000077177,map2k4b,9.41,2.62,0.48,2.81,2.81,1.29,1,0,1
ENSDARG00000087844,plekhn1,9.33,0.46,0.01,3.35,3.35,0.53,1,0,0
ENSDARG00000089169,CABZ01086802.2,9.31,4.64,1.23,2.21,2.21,1.34,1,0,1
ENSDARG00000038569,fzd8b,9.3,2.7,0.18,3.12,3.13,1.65,1,0,1
ENSDARG00000076857,her3,9.28,1.15,0.1,3.22,3.22,0.97,1,0,0
ENSDARG00000078986,C2H7orf11,9.27,2.1,0.14,3.18,3.17,1.44,1,0,1
ENSDARG00000004312,vapa,9.25,6.27,0.58,2.7,2.70,2.20,1,1,1
ENSDARG00000021257,eif3d,9.16,6.14,1.54,2,2.00,1.49,1,0,1
ENSDARG00000091432,BX666065.1,9.14,1.62,0,3.34,3.34,1.39,1,0,1
ENSDARG00000088835,EFS,9.07,2.44,0.04,3.28,3.28,1.73,1,0,1
ENSDARG00000059279,tfap2a,8.94,0.73,0.2,3.05,3.05,0.53,1,0,0
ENSDARG00000094572,BX936382.3,8.93,1.72,0.03,3.27,3.27,1.40,1,0,1
ENSDARG00000090569,CABZ01057951.1,8.92,1.82,0.67,2.57,2.57,0.76,1,0,0
ENSDARG00000036385,foxa,8.86,3.03,1.44,2.02,2.01,0.72,1,0,0
ENSDARG00000057184,C2H7orf25,8.83,2.28,1.17,2.18,2.18,0.60,1,0,0
ENSDARG00000036292,cdx4,8.79,1.95,0.09,3.17,3.17,1.44,1,0,1
ENSDARG00000087053,DDX47 (2 of 2),8.6,4.24,0.95,2.3,2.30,1.43,1,0,1
ENSDARG00000090209,CR388148.1,8.6,1.36,0.01,3.25,3.25,1.22,1,0,1
ENSDARG00000092291,si:ch211-281g2.3,8.6,2.01,0.02,3.23,3.23,1.56,1,0,1
ENSDARG00000089499,ZNF251 (19 of 26),8.54,1.47,0.02,3.22,3.23,1.28,1,0,1
ENSDARG00000054533,araf,8.35,2.72,0.36,2.78,2.78,1.45,1,0,1
ENSDARG00000087744,CU302413.1,8.34,1.73,0.03,3.19,3.18,1.41,1,0,1
ENSDARG00000077111,fzd4,8.32,0.69,0,3.22,3.22,0.76,1,0,0
ENSDARG00000086839,BX324216.1,8.31,0.93,0.05,3.14,3.15,0.88,1,0,0
ENSDARG00000094917,BX324155.2,8.18,1.75,0.02,3.17,3.17,1.43,1,0,1
ENSDARG00000077652,,8.17,1.36,0,3.2,3.20,1.24,1,0,1
ENSDARG00000076111,GXYLT1 (1 of 2),8.16,1.76,0.34,2.77,2.77,1.04,1,0,1
ENSDARG00000027918,ccne2,8.15,1.17,0.19,2.95,2.94,0.87,1,0,0
ENSDARG00000070265,HIST2H2AB (2 of 22),8.15,4.44,0.88,2.29,2.28,1.53,1,0,1
ENSDARG00000069910,gtf2f2a,8.15,4.02,1.01,2.18,2.19,1.32,1,0,1
ENSDARG00000089734,CABZ01065246.2,8.11,2.8,0.06,3.11,3.10,1.84,1,0,1
ENSDARG00000018693,cdh2,8.06,1.06,0.27,2.84,2.83,0.70,1,0,0
ENSDARG00000087791,BX276122.1,7.98,1.93,0.03,3.12,3.12,1.51,1,0,1
ENSDARG00000033539,paics,7.92,1.42,0.51,2.56,2.56,0.68,1,0,0
ENSDARG00000075996,si:dkey-103d23.5,7.8,0.69,0.02,3.11,3.11,0.73,1,0,0
ENSDARG00000087505,CYYR1,7.78,1.86,0.22,2.85,2.85,1.23,1,0,1
ENSDARG00000058369,MEX3B,7.77,0.26,0.08,3.03,3.02,0.22,1,0,0
ENSDARG00000092278,si:dkey-18j14.4,7.77,3.13,0,3.13,3.13,2.05,1,1,1
ENSDARG00000056950,epyc,7.57,0.95,0.04,3.04,3.04,0.91,1,0,0
ENSDARG00000009737,MIXL1 (2 of 2),7.57,1.42,0.33,2.69,2.69,0.86,1,0,0
ENSDARG00000075883,bub3,7.52,2.23,0.78,2.26,2.26,0.86,1,0,0
ENSDARG00000045348,NUP54,7.52,1.83,0.23,2.79,2.79,1.20,1,0,1
ENSDARG00000090358,BX957234.1,7.46,1.36,0,3.08,3.08,1.24,1,0,1
ENSDARG00000043180,gpd1b,7.39,0.96,0.04,3.02,3.01,0.91,1,0,0
ENSDARG00000093764,si:dkey-145c18.5,7.37,1.65,0.06,2.99,2.98,1.32,1,0,1
ENSDARG00000094876,si:ch73-299h12.4,7.37,3.18,0.92,2.12,2.12,1.12,1,0,1
ENSDARG00000017164,vent,7.37,2.58,0.15,2.86,2.86,1.64,1,0,1
ENSDARG00000058479,zgc:110425,7.35,0.86,0.32,2.66,2.66,0.49,1,0,0
ENSDARG00000079368,CLDN18,7.34,1.72,0.14,2.87,2.87,1.25,1,0,1
ENSDARG00000015978,COX5B (1 of 3),7.33,4.13,0.67,2.32,2.32,1.62,1,0,1
ENSDARG00000042322,si:dkey-177p2.6,7.24,1.86,0.92,2.1,2.10,0.57,1,0,0
ENSDARG00000036298,rps13,7.21,3.27,0.92,2.1,2.10,1.15,1,0,1
ENSDARG00000033182,arl4ab,7.14,1.22,0.04,2.97,2.97,1.09,1,0,1
