PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66
dome_k27ac_up_2	0.138	0.121	0.085	0.204	-0.013	0.1	0.109	-0.045	-0.108	0.029	0.147	-0.022	0.065	-0.099	-0.045	-0.18	0.143	-0.156	0.074	-0.104	-0.028	-0.004	-0.022	0.031	-0.077	0.101	0.073	-0.112	-0.044	0.003	-0.014	-0.138	0.026	-0.078	-0.02	-0.047	-0.028	0.012	-0.019	0.014	-0.05	-0.077	0.022	-0.111	0.11	-0.181	0.369	-0.113	0.474	0.003	0.052	0.276	-0.068	0.08	-0.329	0.116	-0.041	-0.106	-0.03	-0.019	-0.008	-0.022	0.034	-0.12	0.019	-0.012
dome_k27ac_up_3	0.158	0.091	0.038	0.157	-0.141	-0.079	0.083	0.063	-0.111	0.039	-0.003	-0.006	0.035	-0.112	0.03	-0.048	0.042	-0.022	0.035	-0.029	0.009	0.001	-0.05	-0.054	0.002	-0.238	-0.189	-0.049	0.028	-0.015	-0.007	-0.045	0.018	-0.024	-0.016	-0.03	-0.014	0.018	0.009	0.03	-0.038	-0.074	-0.056	0.006	0.024	-0.046	0.089	-0.12	0.045	0.017	0.184	0.166	0.103	-0.085	0.425	-0.284	0.544	0.267	0.049	0.025	0.076	0.017	-0.016	-0.074	-0.002	0.039
dome_k27ac_up_4	0.14	0.084	0.058	0.131	-0.158	-0.109	0.088	0.062	-0.063	0.02	-0.101	0.002	0.036	-0.187	0.063	0.088	-0.059	0.031	-0.153	0.086	0.076	-0.037	0.029	0.095	-0.046	0.033	0.058	-0.102	-0.01	0.005	-0.009	-0.08	0.008	-0.034	-0.005	-0.153	-0.06	-0.157	0.029	0.067	-0.13	-0.339	-0.454	0.205	-0.257	0.38	-0.153	0.006	0.1	-0.138	-0.102	-0.092	-0.032	0.043	-0.135	0.073	0.055	-0.118	-0.019	-0.014	-0.029	0.022	-0.024	-0.031	0.003	0.013
dome_k27ac_center_1	0.098	0.154	0.049	-0.067	0.151	-0.055	0.173	-0.011	-0.037	0.053	0.336	-0.05	0.228	0.422	-0.072	0.049	-0.144	0.309	-0.115	0.161	-0.062	0.003	0.094	0.126	-0.158	-0.091	-0.043	0.049	0.003	0.03	-0.017	0.038	0.031	-0.023	-0.04	-0.003	0.035	-0.042	0.03	-0.046	-0.012	0.102	-0.165	-0.163	-0.232	-0.182	-0.256	-0.241	0.129	0.028	0.056	0.111	0.027	0.015	-0.02	0.001	-0.032	0.034	-0.003	0.017	-0.007	0.026	-0.009	0.017	-0.008	0.017
dome_k27ac_center_2	0.114	0.189	0.075	-0.051	0.198	-0.024	0.126	-0.013	-0.138	0.064	0.204	-0.035	0.123	-0.082	-0.067	-0.164	0.208	-0.302	0.118	-0.177	0.004	0.051	-0.035	0.006	0.015	0.273	0.199	0.008	-0.139	0.022	-0.057	-0.007	0.083	-0.123	0.01	-0.06	-0.008	0.025	-0.03	-0.016	-0.021	0.106	-0.078	-0.113	-0.138	-0.019	-0.088	0.033	-0.034	-0.032	-0.218	-0.454	-0.008	-0.084	0.205	-0.033	-0.004	0.199	0.045	0.056	0.052	0.031	-0.032	0.057	-0.031	0.033
dome_k27ac_center_3	0.125	0.131	0.037	-0.066	0.05	-0.207	0.128	0.107	-0.146	0.085	0.037	-0.032	0.09	-0.158	0.049	-0.045	0.069	-0.101	0.083	-0.05	0.018	0.037	-0.055	-0.135	0.076	-0.501	-0.417	0.025	0.068	-0.049	-0.033	0.031	-0.004	0.065	-0.045	-0.013	0.042	0.116	0.034	-0.104	-0.001	0.118	-0.087	0.036	0.006	-0.143	0.004	0.178	-0.063	0	-0.115	-0.134	-0.025	0.014	-0.103	0.095	-0.187	-0.205	-0.138	-0.096	-0.185	0.111	-0.108	-0.065	-0.01	0.01
dome_k27ac_center_4	0.104	0.135	0.041	-0.069	-0.006	-0.253	0.108	0.114	-0.099	0.065	-0.153	0.008	0.083	-0.363	0.175	0.175	-0.151	0.093	-0.225	0.15	0.147	-0.076	0.149	0.3	-0.184	0.19	0.189	0.044	-0.056	-0.006	0.034	-0.01	0.017	-0.001	-0.03	0.01	0.062	0.085	0.01	-0.086	0.025	0.15	0.034	-0.023	0.103	-0.291	0.106	0.259	-0.109	0.148	0.066	0.09	0.002	0.001	-0.004	-0.006	-0.039	0.124	0.004	0.01	0.008	0.003	-0.005	0.008	0.001	0.016
dome_k27ac_down_1	0.141	0.01	0.045	-0.156	-0.055	0.117	0.085	-0.044	-0.02	0.035	0.225	-0.036	0.148	0.148	-0.118	0.002	-0.055	0.123	-0.053	0.066	-0.014	0.019	0.055	0.053	-0.02	0.003	-0.025	0.21	-0.045	-0.1	-0.064	0.23	-0.046	0.052	0.047	0.029	-0.026	-0.286	0.302	-0.082	-0.113	-0.303	0.045	0.066	0.267	0.071	0.423	0.234	-0.071	-0.049	-0.073	-0.171	-0.009	-0.039	0.084	-0.033	0.041	-0.04	0.011	-0.041	-0.005	-0.05	0.042	0.016	-0.009	-0.025
dome_k27ac_down_2	0.148	0.043	0.066	-0.138	-0.023	0.168	0.067	-0.056	-0.101	0.043	0.158	-0.042	0.108	-0.103	-0.129	-0.116	0.152	-0.19	0.026	-0.087	0.055	0.061	0.023	0.06	-0.006	0.145	0.038	0.076	-0.09	-0.046	-0.05	0.138	0.023	-0.053	0.036	-0.021	-0.018	-0.043	-0.024	0.029	0.031	0.01	0.019	0.129	0.048	0.143	-0.323	0.057	-0.372	0.07	0.285	0.435	0.085	0.044	0.003	-0.035	0.022	-0.248	-0.12	-0.095	-0.122	-0.005	0.001	-0.041	0.046	-0.048
dome_k27ac_down_3	0.17	-0.003	0.046	-0.147	-0.169	-0.032	0.054	0.048	-0.101	0.053	0	-0.021	0.059	-0.099	0.013	-0.032	0.051	-0.061	0.021	-0.025	-0.01	0.04	-0.013	-0.033	-0.013	-0.168	-0.154	0.07	0.027	-0.02	-0.01	0.06	0.028	-0.021	0.011	0.028	0.003	0.009	0.006	0.014	0.024	0.014	0.054	0.031	0.019	0.124	-0.091	-0.084	-0.041	0.01	0.025	0.062	-0.068	0.059	-0.226	0.11	-0.159	0.252	0.286	0.22	0.39	-0.337	0.332	0.318	0.043	-0.02
dome_k27ac_down_4	0.149	0.012	0.073	-0.144	-0.197	-0.074	0.061	0.045	-0.076	0.04	-0.079	-0.005	0.044	-0.185	0.063	0.03	-0.056	0.056	-0.047	0.046	0.017	0.011	0.045	0.078	-0.081	0.035	0.021	0.12	-0.015	-0.013	0.008	0.061	0.012	0.013	0.029	0.105	0.002	0.029	-0.006	0.017	0.092	0.142	0.349	-0.13	0.162	0.221	-0.045	-0.546	0.146	-0.217	-0.101	-0.187	0.047	-0.049	0.12	-0.024	0.016	-0.3	-0.064	-0.084	-0.099	-0.005	-0.002	-0.022	-0.003	0.001
